クラスタ番号,タグ
0,['#瞑想']
1,['#NPO']
2,['#コンビニ']
3,"['#猫', '#犬']"
4,"['#コラム', '#ブログ']"
5,['#セカンダリー']
6,"['#パートナーシップ', '#コンサルティング']"
7,"['#感謝', '#対話', '#質問', '#反省']"
8,['#ディズニー']
9,"['#新型コロナウイルス', '#コロナウイルス', '#新型コロナウイルス対策', '#アフターコロナ', '#新型コロナウィルス', '#ツインレイ', '#コロナ禍', '#インフルエンサー', '#ガジェット', '#ホロスコープ', '#新型コロナ', '#アプリ開発']"
10,"['#旅行', '#ヨガ', '#自炊', '#学習', '#体験']"
11,"['#エンタメ', '#お笑い芸人']"
12,"['#東京競馬予想', '#名古屋競馬', '#東京競馬', '#名古屋競馬予想', '#東日本大震災', '#東京競馬場', '#東京都', '#東京オリンピック']"
13,"['#予想', '#成長', '#目標', '#努力', '#節約', '#自信', '#経験', '#希望', '#将来', '#価値', '#才能', '#信頼', '#目的', '#評価', '#決断']"
14,"['#ボート予想', '#ニューヨーク', '#クラフトビール', '#オーガニック', '#アメリカ生活', '#アメリカ留学']"
15,"['#写真', '#動画', '#海外', '#占い', '#感想', '#散歩', '#メモ', '#雑談', '#無料', '#朗読', '#企画', '#情報', '#洋楽', '#応援', '#相談', '#手帳', '#徒然', '#撮影', '#開運', '#映像', '#釣り', '#広報', '#紹介', '#展示', '#楽器', '#解説', '#宣伝', '#配信', '#挨拶', '#楽天', '#天気', '#お話', '#ロゴ', '#演奏', '#取材']"
16,"['#母', '#死', '#娘', '#親', '#父', '#女', '#夫', '#私', '#妻', '#家']"
17,"['#美容師', '#不動産', '#脱サラ', '#習い事', '#美容院']"
18,"['#サッカー', '#スポーツ', '#マラソン', '#ラグビー', '#プロレス', '#ナイター']"
19,"['#婚活', '#癒し', '#朝活', '#田舎暮らし', '#毒親', '#予想屋', '#家庭料理', '#美容室', '#家庭菜園', '#恋愛相談', '#気付き', '#お仕事', '#お散歩', '#小説家', '#毒親育ち', '#お風呂', '#恋活', '#丁寧な暮らし', '#体調不良']"
20,"['#music', '#japan', '#apple', '#radio']"
21,"['#グルメ', '#レシピ', '#カレー', '#ランチ', '#ペット', '#ビール', '#ごはん', '#ワイン', '#手作り', '#お菓子', '#フード', '#日本酒', '#食べ物', '#買い物', '#うさぎ', '#ケーキ', '#パスタ', '#天然石', '#宝くじ', '#アイス', '#文房具', '#コラボ', '#ハーブ', '#手料理', '#うどん', '#和菓子']"
22,"['#ダイエット', '#アラフォー', '#一人暮らし', '#ツイッター', '#インターン', '#アラフィフ', '#アルバイト', '#カメラマン', '#セラピスト', '#アスリート', '#マッサージ']"
23,"['#モノクロ', '#スケッチ', '#レッスン', '#デッサン']"
24,"['#いま私にできること', '#スキしてみて', '#習慣にしていること', '#スタートアップ', '#人生を変えた出会い', '#これからの仕事術', '#挑戦している君へ', '#考えたこと', '#お金について考える', '#好きなことを仕事にする', '#やりたいこと', '#書くこと', '#思ったこと', '#継続は力なり', '#思うこと', '#また乾杯しよう', '#給付金をきっかけに', '#文章を書く', '#新しい働き方', '#今私にできること', '#日々のこと']"
25,['#プログラミング']
26,"['#就活', '#社会人', '#経営者', '#就職活動', '#在宅ワーク', '#看護師', '#働き方改革', '#不登校', '#外出自粛', '#起業家', '#在宅勤務', '#個人事業主', '#転職活動', '#就活生', '#副業収入', '#情報発信', '#地方創生', '#女性起業家', '#健康管理', '#新社会人', '#飲食店経営', '#令和', '#保護猫', '#緊急事態宣言', '#人材育成', '#新規事業', '#夫婦関係', '#オープン社内報', '#保育士', '#副業の教科書', '#新宿租界', '#社会問題', '#作業療法士', '#営業マン', '#管理栄養士', '#高齢者', '#新入社員', '#副収入', '#専業主婦', '#親子関係', '#経営戦略', '#働く女性', '#男性育休', '#中小企業診断士', '#機能不全家族', '#無印良品', '#介護福祉士']"
27,"['#日本', '#沖縄', '#中国', '#韓国']"
28,"['#地方競馬予想', '#競輪予想', '#中央競馬予想', '#大井競馬予想', '#競馬女子', '#競馬予想中', '#川崎競馬', '#競馬場', '#園田競馬', '#船橋競馬', '#阪神競馬予想', '#競馬好き', '#競馬初心者', '#川崎競馬予想', '#競馬投資', '#浦和競馬', '#競馬新聞', '#高知競馬', '#競馬ファン', '#京都競馬予想', '#競馬ブログ', '#競馬大好き', '#中山競馬予想', '#園田競馬予想', '#勝負馬券', '#新潟競馬予想', '#船橋競馬予想', '#門別競馬', '#福島競馬予想', '#南関競馬', '#浦和競馬予想', '#地方競馬場予想', '#高知競馬予想', '#中京競馬予想', '#京都競馬', '#門別競馬予想', '#札幌競馬予想', '#函館競馬予想', '#笠松競馬', '#中山競馬', '#阪神競馬', '#新潟競馬', '#小倉競馬予想', '#南関東競馬', '#盛岡競馬', '#地方競馬最終', '#南関競馬予想', '#佐賀競馬', '#金沢競馬', '#無料競馬予想', '#中京競馬', '#笠松競馬予想', '#馬券勝負']"
29,"['#drawing', '#fashion']"
